content	score	business	avgstars
This place is WAAAY over priced for the generic cuisine they serve. Aside from that, the food is only room temperature. You are much better off spending your dollars at Buffet @ Asia. At least there they have a decent assortment of sushi and a standard Mongolian BBQ.	1	Lee's Buffet	2
Our taxi driver had told us to go to this place.. thank god we did!! our group loved the food and we could not leave Vegas without going back one last time. Food was fresh and so so so so soooo good!! :)	5	Village Pub and Cafe	3.5
Not worth the $20! I'm a Las Vegas buffet connoisseur and had high hopes, since Golden Nugget is the crown jewel of downtown. I can honestly say I could not have been more disappointed. The quality of the food was OK, but the selection was abysmal! By far, the least amount of options of any buffet I've been to, which is 20 +.	2	Golden Nugget Buffet	2.5
Great All-American cuisine with hearty helpings at fair prices. Reminds me of a lodge at Big Bear, Lake Arrowhead or Mt. Charleston. Definitely worth a try.	5	Black Bear Diner	4
The bacon burger is a MUST! One of the most delicious burgers I've ever eaten. The bartenders were very friendly and talkative. The ambience was very nice as well. Definitely worth a visit.	5	Bacon Bar	3.5
Get a free margarita when you check-in on Yelp! Generous portions of delicious Mexican dishes :)	5	Bonito Michoacan	4
"Special date night and we just like to have fun, interact with the staff and enjoy good wine. Unfortunately our waiter was not in the same frame of mind, in fact he ruined the evening for me. (Diners on Aug 20, 15)
Then the food? Not at all up to par. We only picked at our food and left more than half behind. Will not be returning."	1	McCormick & Schmick's Seafood & Steaks	3.5
"This place is. So. Good. Go there. 

My husband and I went downtown for date night and stopped in here to get dinner. I had the arepa with avacado on it and the plantains and he had the pork arepa. All of it was perfect. I usually don't eat bread, but made an exception after reading reviews of this place and I'm glad that I did. The cornbread rolls they make the sandwiches with are so delicious. The ingredients tasted so fresh and the service was super friendly; now my husband mentions this place every date night."	4	Viva Las Arepas	4.5
"When I first walked into the restaurant I was greeted with amazing welcoming staff :) 
The food was amazing ! The recommendations by our waiter was on point . 
I couldn't be any happier than my first experience at this amazing restaurant . 

Thank you Nico !:)"	5	Prosecco Fresh Italian Kitchen	4.5
Not the first fat burger that I have had and will not be the last. Good burger better fries. One thing I will say there was only two girls working and they were a little busey and those two did a good job getting food out.	3	Fatburger	2.5
Not great not bad if you are in a hurry and need a bite then stop in if you are looking for a great pizza then keep looking.	3	Pizzeria Francesco's	3
Good food great for groups good service only down side it is a bit pricey	4	Buca di Beppo	3
Real good pizza nothing bad to say about except that I don't have one near home. Great crust love the wood oven fired cooking nice guy behind the counter. Good value for the money. I will be back.	5	Due Pizzeria	4.5
Better than average burger good fries but at what point is 20 dollars much money for a burger, fries and a coke.	3	Burger Bar	4
Stayed here for three nights if you are looking for a cheap place to stay and plan on enjoying all that Las Vegas has to offer other than this place and just need a place to sleep and shower then this is your place. It is not bad but I wouldn't let my mother stay here. You know the old saying you get what you pay for and at 40 dollars a night that is true here.	2	Hooters Casino Hotel Las Vegas	2.5
"best bbq in vegas.  they used to have real brewed iced tee.  they replaced it with this fountain thing and i asked the owner whats up with the fake iced tee fountain.  he looked me in the eye and told me a balled faced lie that it was an automatic tee brewing machine.  LIER!!!!!!!!!!!!!  next time i came in i saw his son changing out the
plastic bag of bs gmo garbage fake asss iced tee.  i'll never eat there again.  

scum bags

too bad cause i really love there food.  its legit real bad asss down home food.
the owner is lying scum."	1	Rollin Smoke Barbeque	4.5
We got robbed by pink taco last night.  105 dollars for chappy garbage food and tiny margaritas for 2 people.  I've had 10 times better food on a street corner in North Las Vegas for 5 bux.  I'm super pissd.  I've never done it before but I even stiffed the chappy as waitres.  And I don't feel bad for her one second.  I dare you to go into this rip off joint.	1	Pink Taco	3.5
"The most UNBELIEVABLE rude pretentious dushbagial jack shack i have ever been to.  Three times three bad experiences with lame ass pretentious employees and owner.  There are always plenty of tables available but we are always told we have to wait. Each time it was for a party of 2 and when we were finally seated after waiting a good half hour plus each time it was always in a poor sitting area, exp-- lopsided rocking table right next to the kitchen\/employee entrances. The food is descent, nothing to scream about but with such a poor experience with the seating every time it is a definite turn off for deciding on places to eat downtown. There are plenty of amazing eats downtown to not have to deal with this each and every time we want to retry this spot. Too bad we don't make this restaurants 'exclusive' special people list.
Oh and I'm sure all of these AMAZING review are the eye rolling pretentious looser ass owner lady trying to ""bury"" the real reviews.  yes and i meant to leave zero stars but it doesn't seam to go that low.

OH YA AND WE WALKED A BLOCK OR TWO AND ""ATE"" AT RACHEL'S KITCHEN.
IT WAS AWESOME  AND THE PEOPLE THERE WERE PLENTY NICE TO US."	1	Eat.	4
"kept going into this place cause its close my my office by im done.  I just realized this hipster flaming dushbag establishment is selling MONSANTO GARBAGE GMO PRODUCTS dispensed out of a fountain drink dispenser.  yes lipton ice tee.  really go see for yourself.  
and for 3.25 for a small to go cup.  SCUM"	1	Makers & Finders Coffee	4.5
Doesn't even deserve a star! Made a reservation for Super Bowl Sunday for a party of 8 (which means big $$$ to an owner or SMART manager). Our reservation was not honored because they never checked their open table account & confirm the day before for the $250 deposit. So glad I showed up 15 minutes before game time with no reservations. Been searching the rest of the casino for a table for 8. Now we have no where to watch other than our room. So glad we made the trip all the way out to Vegas from San Diego to watch the big game in our hotel room!!	1	PBR Rock Bar & Grill	3
Really good food and the service was great very helpful when it came to choosing my food .The orchata was the best one in town and my favorite was the octopus tacos they were really good .will defiantly recommend .	5	Bajamar Seafood & Tacos	5
Nothing fast about this place.... 20 mins in drive thru. Food order was wrong and not worth going back. Can drive to the boarder of Mexico faster then these guys serve food.	1	Taco Bell	3
Took a while to get our food. There was like no one there and I soon understood why. Once we finally got our food I was very disappointed. Tasted like the cafeteria food I got in middle school. The chicken was soggy. The fries were under cooked. Just all around not very good. Not worth the price at all. I would go McDonald's over this place.	2	Checker's	2
High quality chicken! I've been to this location many many times and every time j come the chicken is fresh and the toast and fries are too. And man do I love that sauce! I always get extra sauce so I can dip everything in it. The customer service is on point, they are always friendly and always bring the food to you. I highly recommend this place.	5	Raising Cane's	4
Horrible customer service. My friend and I were close to the area after being at the gym so we just wanted to stop in and get something fast. We both like chicken and hadn't tried Popeyes yet so we stopped in to try it. It was about 11 pm there was only one customer in they're besides us and after waiting for ten minutes they never got to us and got down our order. They were just kinda slothing around in the kitchen area making the other persons order and never took the time to get to us so we ended up just leaving not even having a chance to try the food.	1	Popeyes Louisiana Kitchen	2
I work very close to this location and have been here many times and have tried almost everything they have on menu. For the price you pay you get really good quality food. I usually get the chimichanga, the fried tortilla is always fresh and the meat is zesty and delicious. The portions are really good and the ingredients are fresh. The food also comes out really quick so much better then like a Taco Bell or dell taco.	5	Habaneros Taco Grill	4
"Every time I come to Vegas, I MUST eat here. This is probably the best food I've ever eaten and the hot sauce is AMAZING. Better than sriracha and not too spicy.  You will leave satisfied.

Try the combo plates and make sure you get the baklava. The staff are the friendliest I've ever met and always excited to help make your first visit one to remember."	5	Amena Bakery & Deli	4.5
Great, affordable food in a classy setting at the Wynn.  My turkey burger made with sun dried tomatoes and served on fontina focaccia was delicious.  Other items looked great.  I also loved the cozy couch at our table.  Wine was on the pricey side, but overall this was a great Vegas value.	4	Terrace Pointe Cafe	4
"When they said casual, they weren't kidding.  If I was interested in an Olive Garden like experience with slightly better food, then I wouldn't have been disappointed.  Unfortunately the only way to get me into Olive Garden is to drop me in some town where the ONLY other option is Applebee's.  This being Vegas, I had higher expectations.

The food was fair, but standard, uncreative Italian.  The bread and bread sticks came wrapped up in paper (classy, eh?).  We had to ask to get some olive oil, otherwise it was served with nothing.  We were seated in the Venetian's fake Italian ""plaza"" which although novel for a few minutes, eventually feels like just another mall and didn't make for a cozy (or lively) dining experience. The service was fair but completely forgettable, like just about everything about this experience.  Set your sights low, or try something else."	2	Enoteca San Marco	3.5
Efter 3 veckor på vägarna i Kalifornien,Arizona och Nevada med restauranger av medioker klass kom vi äntligen till Las Vegas och hittade Spago. Här blev vi glatt överraskade med fin service,utsökt mat och bra viner,allt detta till acceptabelt pris. Restaurangen hade en varm och behaglig atmosfär och miljön gjorde så att man fick en känsla av att man satt utomhus. Det var så bra att vi gick dit två kvällar i rad. Kan verkligen rekommendera detta ställe och pröva gärna deras Linguine med skaldjur!	5	Spago by Wolfgang Puck	4
"Food A
Service D

Sloooooooooooow.  Waitress took her sweet time getting our menus, food, and check which has 20% added as gratuity - which explains why service is poor, there is no incentive to do well."	3	17 South Booze & Bites	3
"Looked cool on tv. 
Tasted like nothing to brag about. 

Yes the medical theme is cool, the girls are basically hooters girls in nurse outfits. You wear a hospital gown and there's cool decor and eye candy. People get spanked 

Your wallet is also getting spanked. $13 for a single burger, fries, and coke? And I missed what was so awesome about it. They don't put pickles or lettuce on the burgers, they're pretty plain. I thought the bun would be sinfully delicious, nope!! Nothing special there. 
And the fries were nothing special, I really don't get what the appeal of the actual food is. Five Guys is way better, even Wendy's is better. 
Our server was not that great. Waited 20 minutes to get our check and the place wasn't even crowded on a Saturday at 230pm. 
Skip it and grab a 99 cent fried Twinkie down the street."	2	Heart Attack Grill	3
"I ate here at 2pm and its now midnight and I'm still not hungry. 

For $32 you get all the snow crab legs you can eat w out getting sick, endless California rolls, amazing blueberry blintzes, diverse desserts, and much more. 

The only thing I wish this place had was chicken wings or fried chicken."	4	The Buffet at ARIA	3
One of the best vegan food I have had till now. The place is beautifully done up, the service is great and the staff is really kind. They were very sweet enough to plate our order in 2 different plates as we were sharing the meal. The veggie burger and gracias Madre quesadilla was delicious. Don't miss the dessert, the Blueberry Cheesecake is a must have.	5	VegeNation	4.5
Bartenders were friendly however they have a food truck called Bud Bud's Eats inside. Food wasn't good and the food struck staff were very rude.	1	The Still	3.5
They have stupid rules about combining tables, instead they let us wait and let everyone who came after us sit!	2	Sushi Mon	4
"Since trying out halal at Halal Guys in NYC, my friends and I have been looking for a place that has good Mediterranean food w\/ the same white sauce. Baladie is not only the closest to having that same white sauce (common tzatziki sauce isn't the same thing), but their food was amazing. We had the #2, which is a gyro platter w\/ a beef\/lamb mix for the meat. We chose rice (good choice in the end) instead of the vegetables. Best Mediterranean food we've had in town. Also, their baklava is going to have me dreaming about it for the next few weeks. 

The guy (I'm assuming the owner, along w\/ his wife?) was super friendly and had a good sense of humor, to go along w\/ great customer service. Definitely a 5 star place that I'll be hitting up again in the future."	5	Baladie Café	4
Hands down best Alfredo I've ever had in my life, no joke! Ambience was great too, tables are kind if close but has very homey feel and live band was good, tool any request. Is my go-to spot for romantic dinner next time I'm in Vegas!	5	Casa Di Amore	4.5
I had a dog, it was tasty. It's a pretty good choice for being in Vegas. Lots of seating, quick service!	3	Nathan's Famous	3
On the way to Pahrump​ I took a quick stop on the strip for some good eats, Tasty and delicious Lobster roll with butter. Indulging the munchies. Great seafood in the desert.	4	Luke's Lobster Las Vegas	4.5
Recently tried this fast food joint and was pleasantly surprised​ by​ the quality​ and tastiness of their​  chicken fries and toast.	4	Raising Cane's	4
"Went to Tao for the 2nd time this past Labor Day weekend and enjoyed myself. Was here before a few years ago and had a great time but with the club scene, that can change over time. Entry was smooth since we were on the guest list and it was a group of all girls, so it did not take longer than 5 minutes and Busta Rhymes was suppose to be there (don't think he showed up though). 

As others have mentioned, dance floor is too small and we avoided it. Made our own dance floor by the VIP section where my friends and I enjoyed the bottle service of various groups around us for free (helps to be pretty and a girl). Music was really good - didn't try out the other rooms until later in the night but they seemed to be popular. I like the mix of the club - people from all ethnicities and those looking for a good time."	4	Tao Nightclub	3
"Visited here three times over the Labor Day holiday weekend. First time was for a late lunch and it was amazing! Our group of 5 raved about all of the food (french toast, curry mussels, mashed potatoes, tacos) especially the dessert (macaroons, gelato, mouse). That was on a Friday and it was $20 pp with a complimentary mimosa. 

Since we liked it so much, we went back on Sunday for dinner. Unfortunately, lightning did not strike twice. The food was lukewarm, price was higher which was expected for dinner but nothing worthy of the additional price hike (holiday pricing at $40 pp) and even the salted caramel peanut gelato did not move us like the previous visit. Luckily for us, we had a huge credit from the Cosmo since they have poor customer service in the hotel, that our meal was free.

So, our last day in Vegas, we wanted to spend our food credit and were hoping that they were just having an off night on Sunday. We encountered holiday pricing yet again ($31 pp) but no free mimosas this time, which means we paid more but got less. The food was pretty good, not as great as the first time but good enough that I would visit again when in Vegas. 

One consistent problem, the lines get really long (I believe they hold the lines similarly to a nightclub because there are plenty of tables) and if you are not platinum members (fortunately, we were), it can be a really long wait. It is a little ridiculous for a buffet to act so pretentious."	4	Wicked Spoon	3.5
"Came here for dinner b\/c we arrived at the hotel late and we were too lazy to go anywhere else. We had originally picked Oyster Bar but the line was crazy long for only 10 seats and we didn't feel like standing in line for 1+ hours. 

Prime rib dinner - For $11.99, this was a darn good deal. Giant piece of beef, with your choice of baked or mashed potatoes, and some veggies on the side. The beef was tender and edible and hey, that's the most you can ask for at that price.

Reuben sandwich - Holy moly this sandwich was greasy!  It literally dripped grease the entire time. Grease aside, I wish they sliced the pastrami thinner as there were definitely pieces that needed to be cut with a knife and not with bare teeth. Still, it was tasty.

Overall, the Grand Cafe is a nice clean place if you happen to find yourself as the Palace Station hotel and you're looking for a quick place for dinner."	3	Grand Café	2.5
"Came here for dinner b\/c we arrived at the hotel late and we were too lazy to go anywhere else. 

Mushroom Swiss burger - This was actually pretty decent but a tad on the small side. 

Fish Sandwich - Ugh. This was virtually inedible. The fish was fried waay past crispy, bordering on rock hard. Disgusting. 

Overall, don't come here unless you really have no other place to eat."	2	The Garden Grill	3
We were there for new year's eve dinner. Outdoor seating for 15 people, they were really nice to take our reservation the morning of. It's a $110\/ person set menu not including drinks. Yea...a little on the pricey side, but the location and view is great! The food is not bad either, the waitress was awesome! She made our night!!!! Would def. go back again anytime!	4	Mon Ami Gabi	4
As much as i love to dine here not tht sanitary although typically ive always gone to bj's in san diego. This particular bj's really needs to get it together. There booth chairs had crumbs all over it. The menu had dried up old food. Lastly the bathroom, the first 3 stalls had no tissue. Smh. Come on i could hve gobe to jack in the box for this or any fast food for tht matter!!!	2	BJ's Restaurant & Brewhouse	3
OH...MY...GOD. THEEEE most amazing Chorizo hash that I've ever had. Then my mother ordered chicken and waffles so FUCK THE WORLD! It was crazy. God I love Donna. She is killer. Anyway, peace out. Chicago loves you Vegas!!!!	5	Hash House A Go Go	4
This place is great. The options are incredible and they even have Gluten Free options! The wait can be a bit long so definitely choose your timing wisely or plan to add your name and shop at one of the nearby stores.	5	The Cracked Egg	4
"Home-Made Authentic Japanese Cuisine served with a genuine smile and friendly conversation.  Not fusion.  Better. Way Better.

Only down-side is the area is a tad on the 'sketch' side for a visiting tourist.  But other than that,   'sake bomb' away!!"	4	Fuji Japanese Restaurant	4
I went here for the open mic last night (Friday).  Everyone was super nice and friendly.  Down to earth very talented musicians vibe!!!	5	Brentwood Cafe & Tavern	3.5
Went here with big expectations but was pretty disappointed:\/ 3 stars for freshness of ingredients and interesting flavors. Burgers didn't even come with fries, womp!	3	Bachi Burger	4
"I was extremely excited to be able to support a small business in my area and have given the business several opportunities to make up for their issues which I initially thought was because it was new but it's going on 3 months since opening and things have only gone downhill in terms of quality and consistency. Don't let the name fool you, this is no italian market. I would be surprised if they even have a slicer on the premises as you cannot buy cured meats or any italian cheeses on site aside from prepackaged items and dry pasta that I'm pretty sure has been there since its grand opening.

Decor is nice. Outdoor seating features fire pits and the interior is a mix of rustic wood and brick. Their brick oven looks impressive--custom designed down to the name of the business--Tony Bolony--but wait, isn't their business called Plantones? A quick google shows Tony Baloneys is a trademarked named business in San Francisco. Perhaps an oversight on their part and a very pricey one.

It's unfortunately another one of those restaurants that makes the mistake of opting to provide both fast food service (go to the counter to order, fill your own drinks etc) with server service. If they wanted to provide a full service dining experience they should just offer it when you walk in. And since you aren't assigned any server in particular food runners get confused since they didn't take your order and don't know where to go or who to look for or who to give the food. More often than not I will get my food before the customers who arrived before me for whatever reason. I guess I'm just lucky? Cashiers are hit and miss--some are just there obviously for the paycheck. No smile no greeting. Just jaded looking teenagers waiting to clock out. Servers have always provided service with a smile--more recently they have been exceptional, the only reason they should get any stars at all.

The actual pizzas are virtually flavorless. The bottoms of pizzas show their lack of cleaning of their oven. Covered in black soot. Perhaps they thought this would add to the flavor of the pizza? It's hard to tell that they were baked in a brick oven pizza as it lacks any flavor hinting towards that. The pepperoni itself is sparse and extremely mild. The grilled chicken also has no seasoning whatsoever and the texture of their mushrooms is miserable--like they boiled or microwaved them and just threw them into storage. Another pizza place which shall remain unnamed has $8 12"" pizzas with unlimited toppings with over 30 to choose from... Plantones (10"" for $10) just can't compare with less than 20 toppings.

Sandwiches are extremely small for the price and NOTHING like the owner posted photos! The meat is sparse and also lack flavor. The chicken parm is a soggy mess and maybe 4 inches long! The italian sausage barely has any seasoning and lacks any spice whatsoever... The meat in the baloney sandwich was completely blackened--no joke! I guess this is what happens when a realtor tries to be a restaurateur. If he wants his business to succeed the restaurant would be better off without him there as he completely lacks customer service skills and seems to have a poor attitude when he is there."	1	Plantone's Italian Market	4
Excellent service, and it didn't hurt that as diamond members we received complimentary amuse-bouche and mignardise. The popovers were pretty good--hot bread is always welcome. We ordered the intimidating 36 oz porterhouse and lamb chops both medium rare. Unfortunately the porterhouse arrived blue rare while the lamb chops arrived rare. The sides were a joke. At $12 at other steakhouses, a side is usually pretty generous, but the stuffed mushrooms were tiny and only came with 5 and were honestly kind of gross. The truffle mashed potatoes had oil leaking from them, was overseasoned in a tiny cast iron pot, maybe half a cup of mash. If the sides were more generous and the meats cooked properly we would definitely have returned as the quality was there. Maybe it was an off night?	3	BLT Steak	4
Wow. Service is terrible. We waited over 30 minutes for two taiyaki cones and by the time it came it turned out they were out of the fillings I wanted so they substituted random items instead and ASSumed I would be fine with them. The custard filling was maybe a teaspoon because they were apparently out of that and just stuffed an extra marshmallow to fill it up. The ice cream was loaded with ice crystals from being refrozen so many times. The taiyaki (fish waffle) itself was super DRY, CHEWY and BLAND. The ice cream scoop itself was a joke. Definitely not worth $8 at all.	1	Cafe Summer	4
Wow. 8 bucks for a tiny portion of chicken and a ton of rice. on top of that it was extremely salty, had CANNED mushrooms and no veggies. At most they put maybe 4 oz of meat. For 8 bucks.	1	Thai Style Noodle House	3.5
Horrible! the "ceviche" was raw grey flavorless shrimp and the spicy tuna had a questionable texture like it had been cooked part way. It wasn't seasoned properly so it wasn't spicy or salty AT ALL.  Brown rice was too hard--and I eat brown rice all the time. It should be firm and nutty. Not difficult to chew. Very dissappointing overall. Took two bites and the rest went in the garbage.	1	Soulfish Poké	2.5
Inconsistent portions, poorly seasoned food and BOTTOM OF THE BARREL service. No greeting when you walk in, no smiles. Employees don't even look at you when you go in.  Beef is overcooked and dry, vegetables are steamed with no salt so no flavor there whatsoever. Soba is just boiled noodles as well. No flavor. And take a look at a pic of the egg roll I got. Burnt till it was black! Seriously?	1	Samurai Sam's	3
