01 January, 1960	01/01/1960
02 January, 1960	02/01/1960
03 January, 1960	03/01/1960
04 January, 1960	04/01/1960
05 January, 1960	05/01/1960
06 January, 1960	06/01/1960
07 January, 1960	07/01/1960
08 January, 1960	08/01/1960
09 January, 1960	09/01/1960
10 January, 1960	10/01/1960
11 January, 1960	11/01/1960
12 January, 1960	12/01/1960
13 January, 1960	13/01/1960
14 January, 1960	14/01/1960
15 January, 1960	15/01/1960
16 January, 1960	16/01/1960
17 January, 1960	17/01/1960
18 January, 1960	18/01/1960
19 January, 1960	19/01/1960
20 January, 1960	20/01/1960
21 January, 1960	21/01/1960
22 January, 1960	22/01/1960
23 January, 1960	23/01/1960
24 January, 1960	24/01/1960
25 January, 1960	25/01/1960
26 January, 1960	26/01/1960
27 January, 1960	27/01/1960
28 January, 1960	28/01/1960
29 January, 1960	29/01/1960
30 January, 1960	30/01/1960
31 January, 1960	31/01/1960
01 February, 1960	01/02/1960
02 February, 1960	02/02/1960
03 February, 1960	03/02/1960
04 February, 1960	04/02/1960
05 February, 1960	05/02/1960
06 February, 1960	06/02/1960
07 February, 1960	07/02/1960
08 February, 1960	08/02/1960
09 February, 1960	09/02/1960
10 February, 1960	10/02/1960
11 February, 1960	11/02/1960
12 February, 1960	12/02/1960
13 February, 1960	13/02/1960
14 February, 1960	14/02/1960
15 February, 1960	15/02/1960
16 February, 1960	16/02/1960
17 February, 1960	17/02/1960
18 February, 1960	18/02/1960
19 February, 1960	19/02/1960
20 February, 1960	20/02/1960
21 February, 1960	21/02/1960
22 February, 1960	22/02/1960
23 February, 1960	23/02/1960
24 February, 1960	24/02/1960
25 February, 1960	25/02/1960
26 February, 1960	26/02/1960
27 February, 1960	27/02/1960
28 February, 1960	28/02/1960
29 February, 1960	29/02/1960
01 March, 1960	01/03/1960
02 March, 1960	02/03/1960
03 March, 1960	03/03/1960
04 March, 1960	04/03/1960
05 March, 1960	05/03/1960
06 March, 1960	06/03/1960
07 March, 1960	07/03/1960
08 March, 1960	08/03/1960
09 March, 1960	09/03/1960
10 March, 1960	10/03/1960
